date,sessions,users,page_views,events
2026-07-09,0,0,0,0
2026-07-10,0,0,0,0
2026-07-11,0,0,0,0
2026-07-12,1,1,1,5
2026-07-13,1,1,1,5
2026-07-14,0,0,0,0
2026-07-15,0,0,0,0
2026-07-16,0,0,0,0
2026-07-17,0,0,0,0
2026-07-18,0,0,0,0
2026-07-19,0,0,0,0
2026-07-20,4,2,31,110
2026-07-21,1,1,2,8
2026-07-22,3,3,8,34
2026-07-23,5,4,11,41
2026-07-24,10,10,32,125
2026-07-25,11,11,35,158
2026-07-26,14,14,49,222
2026-07-27,11,11,35,159
2026-07-28,6,6,14,65
2026-07-29,10,10,21,105
2026-07-30,9,9,30,130
2026-07-31,10,10,25,121
2026-08-01,11,11,23,118
2026-08-02,12,12,38,175
2026-08-03,16,16,44,199
2026-08-04,9,8,20,102
2026-08-05,17,16,49,211
